CST,MaxTemperatureF,MeanTemperatureF,MinTemperatureF,MaxDewPointF,MeanDewPointF,MinDewpointF,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressureIn,MeanSeaLevelPressureIn,MinSeaLevelPressureIn,MaxVisibilityMiles,MeanVisibilityMiles,MinVisibilityMiles,MaxWindSpeedMPH,MeanWindSpeedMPH,MaxGustSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2011-1-1,30,20,10,1,-2,-6,52,39,27,30.63,30.56,30.51,,,,13,9,,0.0,,,357
2011-1-2,30,24,17,7,2,0,54,40,29,30.66,30.58,30.51,5.0,5.0,4.0,13,8,,0.0,,,33
2011-1-3,30,21,12,9,6,3,68,53,34,30.51,30.45,30.39,5.0,4.0,2.0,4,2,,0.0,0.0,,47
2011-1-4,35,22,8,9,4,0,73,48,26,30.39,30.33,30.24,6.0,4.0,2.0,18,6,29.0,0.0,0.0,,332
2011-1-5,28,22,17,-2,-4,-8,36,31,24,30.63,30.47,30.39,,,,25,20,38.0,0.0,,,316
2011-1-6,30,21,12,0,-3,-6,48,33,25,30.74,30.66,30.6,,,,22,16,34.0,0.0,,,335
2011-1-7,33,22,12,5,0,-4,54,37,22,30.63,30.44,30.27,5.0,4.0,4.0,11,7,13.0,0.0,,,4
2011-1-8,30,24,17,7,1,-8,58,37,25,30.6,30.37,30.24,5.0,3.0,2.0,38,11,45.0,0.0,,,323
2011-1-9,26,20,15,-6,-8,-11,32,26,22,30.71,30.62,30.54,,,,31,21,38.0,0.0,,,313
2011-1-10,32,23,14,-2,-5,-9,38,28,17,30.54,30.36,30.18,,,,20,12,27.0,0.0,,,316
2011-1-11,30,22,15,-2,-5,-9,39,28,19,30.27,30.22,30.15,,,,25,11,31.0,0.0,,,316
2011-1-12,33,20,6,1,-4,-8,62,36,17,30.3,30.24,30.18,5.0,5.0,5.0,9,4,,0.0,0.0,,349
2011-1-13,39,24,8,3,-2,-8,62,36,14,30.33,30.19,30.12,5.0,5.0,4.0,22,5,38.0,0.0,0.0,,339
2011-1-14,30,22,15,1,-6,-15,38,28,18,30.71,30.52,30.33,5.0,5.0,5.0,25,15,31.0,0.0,0.0,,334
2011-1-15,26,19,12,-8,-13,-17,34,25,19,30.77,30.7,30.63,,,,29,17,34.0,0.0,,,326
2011-1-16,28,18,8,0,-7,-11,57,34,23,30.69,30.62,30.54,5.0,4.0,4.0,9,5,16.0,0.0,0.0,,4
2011-1-17,28,19,10,-2,-5,-9,48,34,25,30.63,30.57,30.51,5.0,4.0,4.0,20,10,29.0,0.0,0.0,,331
2011-1-18,28,17,6,-6,-8,-9,48,32,21,30.6,30.53,30.45,,,,18,10,25.0,0.0,,,341
2011-1-19,30,19,8,-6,-8,-9,44,31,18,30.54,30.49,30.42,,,,20,9,27.0,0.0,,,345
2011-1-20,32,20,8,-2,-6,-11,52,33,15,30.54,30.45,30.36,5.0,4.0,4.0,11,6,,0.0,0.0,,16
2011-1-21,35,24,12,1,-4,-8,49,32,17,30.42,30.36,30.3,5.0,4.0,4.0,11,7,20.0,0.0,0.0,,343
2011-1-22,33,20,8,3,-1,-8,62,38,24,30.48,30.37,30.3,5.0,4.0,4.0,20,8,29.0,0.0,0.0,,341
2011-1-23,30,22,14,-4,-6,-9,35,29,23,30.54,30.49,30.42,,,,25,16,34.0,0.0,,,315
2011-1-24,32,18,5,0,-4,-8,56,36,23,30.57,30.5,30.42,5.0,5.0,5.0,13,7,,0.0,0.0,,14
2011-1-25,32,22,12,0,-5,-8,49,33,19,30.66,30.55,30.45,5.0,4.0,4.0,20,8,31.0,0.0,0.0,,342
2011-1-26,32,20,8,1,-3,-8,57,39,21,30.74,30.68,30.6,,,,7,4,,0.0,,,355
2011-1-27,28,21,14,0,-4,-8,49,33,22,30.86,30.76,30.71,,,,13,8,,0.0,,,5
2011-1-28,30,22,14,-2,-6,-9,45,30,19,30.74,30.65,30.54,5.0,5.0,5.0,18,9,31.0,0.0,,,331
2011-1-29,30,20,10,-6,-10,-13,37,27,18,30.66,30.6,30.54,,,,18,12,34.0,0.0,,,340
2011-1-30,37,27,17,0,-6,-9,39,25,15,30.63,30.53,30.42,,,,20,13,31.0,0.0,,,315
2011-1-31,46,30,14,0,-2,-6,49,26,13,30.48,30.36,30.27,6.0,6.0,6.0,16,9,22.0,0.0,0.0,,332
2011-2-1,48,34,21,1,-3,-8,42,23,10,30.27,30.19,30.12,,,,16,9,25.0,0.0,,,340
2011-2-2,44,30,17,3,-1,-6,42,26,13,30.21,30.15,30.09,5.0,5.0,5.0,22,9,31.0,0.0,0.0,,331
2011-2-3,44,30,15,5,1,-4,53,31,14,30.24,30.16,30.06,5.0,4.0,4.0,11,7,,0.0,0.0,,345
2011-2-4,46,32,19,14,8,1,63,38,23,30.27,30.17,30.09,5.0,4.0,2.0,16,5,,0.0,0.0,,42
2011-2-5,35,26,17,19,14,10,79,62,44,30.27,30.08,29.95,4.0,4.0,3.0,9,3,,0.0,0.0,,86
2011-2-6,51,36,21,16,13,9,74,41,22,30.21,30.12,30.04,6.0,4.0,4.0,11,7,,0.0,0.0,,14
2011-2-7,39,32,23,18,15,10,68,52,31,30.12,29.98,29.86,5.0,4.0,3.0,9,4,,0.0,,,109
2011-2-8,46,32,17,14,11,5,80,48,20,30.21,30.0,29.89,5.0,4.0,3.0,13,6,22.0,0.0,0.0,,31
2011-2-9,37,28,19,23,18,9,93,67,44,30.39,30.31,30.21,5.0,3.0,2.0,13,5,,0.0,3.0,Snow,136
2011-2-10,28,26,23,27,23,21,100,93,80,30.39,30.35,30.3,3.0,2.0,1.0,7,5,,0.0,8.0,Snow,121
2011-2-11,30,24,14,23,10,-2,100,58,29,30.6,30.43,30.33,3.0,1.0,1.0,36,10,47.0,0.0,7.0,,341
2011-2-12,28,19,10,18,1,-4,86,43,29,30.6,30.49,30.39,6.0,6.0,4.0,11,7,,0.0,4.0,Snow,47
