"Year","Month","Day","DayOfYear","AvgPollution","MedPollution","SDPollution","MaxPollution","MinPollution","Lower95Pollution","Upper95Pollution","Lower90Pollution","Upper90Pollution","Lower50Pollution","Upper50Pollution","Observations","Date","RollingAvgPollution","CST","MaxTemperatureF","MaxHumidity","MaxWindSpeedMPH","MaxSeaLevelPressureIn","MeanTemperatureF","MeanHumidity","MeanWindSpeedMPH","MeanSeaLevelPressureIn","MinTemperatureF","MinHumidity","MinSeaLevelPressureIn","MaxGustSpeedMPH","PrecipitationIn","Events","MeanTempF_RollingAvg","MeanHumid_RollingAvg","MeanWindSpeed_RollingAvg"
2011,1,1,1,36,36,NA,36,36,36,36,36,36,36,36,1,2011-01-01,NA,"2011-1-1",30,52,13,30.63,20,39,9,30.56,10,27,30.51,NA,0,"Clear",NA,NA,NA
2011,1,2,2,37.875,31.5,20.9954705260134,76,14,14,76,14.45,17.3,21.5,54.75,24,2011-01-02,NA,"2011-1-2",30,54,13,30.66,24,40,8,30.58,17,29,30.51,NA,0,"Clear",NA,NA,NA
2011,1,3,3,169.291666666667,174,56.3903161333858,286,78,82.025,268.175,85.3,88.8,131.5,197.25,24,2011-01-03,NA,"2011-1-3",30,68,4,30.51,21,53,2,30.45,12,34,30.39,NA,0,"Clear",NA,NA,NA
2011,1,4,4,82.7916666666667,70.5,48.5789175659983,275,28,33.75,204.85,39.2,48.1,60.5,89.25,24,2011-01-04,58.9404761904762,"2011-1-4",35,73,18,30.39,22,48,6,30.33,8,26,30.24,29,0,"Clear",21.7142857142857,40.1428571428571,9.71428571428571
2011,1,5,5,19.625,19,5.1314249228777,31,10,11.15,30.425,12.15,13.9,16.75,21.5,24,2011-01-05,64.8071428571428,"2011-1-5",28,36,25,30.63,22,31,20,30.47,17,24,30.39,38,0,"Clear",22.2857142857143,39.8571428571429,10
2011,1,6,6,16.0833333333333,14.5,5.59438123917877,28,6,7.725,27.425,9,9.3,13,20.25,24,2011-01-06,71.2376984126984,"2011-1-6",30,48,22,30.74,21,33,16,30.66,12,25,30.6,34,0,"Clear",22.1428571428571,38.1428571428571,10.5714285714286
2011,1,7,7,50.9166666666667,46,30.382942392168,120,13,14.725,113.675,16.15,17,26.25,71.5,24,2011-01-07,50.5531746031746,"2011-1-7",33,54,11,30.63,22,37,7,30.44,12,22,30.27,13,0,"Clear",22.2857142857143,34.5714285714286,11.8571428571429
2011,1,8,8,77.0666666666667,26,66.4889536117162,181,16,16.35,178.2,16.7,17.8,20.5,141,15,2011-01-08,48.2853174603175,"2011-1-8",30,58,38,30.6,24,37,11,30.37,17,25,30.24,45,0,"Clear",22,32.8571428571429,11.5714285714286
2011,1,10,10,82.8888888888889,88,25.992520291636,115,43,44.4,113.2,45.8,48.6,69,105,9,2011-01-10,62.8388888888889,"2011-1-10",32,38,20,30.54,23,28,12,30.36,14,17,30.18,27,0,"Clear",22.2857142857143,33.5714285714286,9.42857142857143
2011,1,11,11,24.5,19.5,15.3367986002408,76,8,10.3,63.35,12.15,13,15.75,26.75,24,2011-01-11,62.9579365079365,"2011-1-11",30,39,25,30.27,22,28,11,30.22,15,19,30.15,31,0,"Clear",22.4285714285714,32.8571428571429,9.28571428571429
2011,1,12,12,66.9166666666667,61.5,29.5707209285111,144,24,27.45,132.5,30.6,34.3,48,82.25,24,2011-01-12,58.0948412698413,"2011-1-12",33,62,9,30.3,20,36,4,30.24,6,17,30.18,NA,0,"Clear",22,31.1428571428571,10.7142857142857
2011,1,13,13,121.5,121.5,58.2199726673871,252,27,40.8,247.4,52.35,60.6,74.75,153,24,2011-01-13,52.7043650793651,"2011-1-13",39,62,22,30.33,24,36,5,30.19,8,14,30.12,38,0,"Clear",21.1428571428571,30.7142857142857,9.85714285714286
2011,1,14,14,16.9166666666667,16.5,4.04234829154353,25,11,11.575,25,12,12.3,13,20,24,2011-01-14,45.7083333333333,"2011-1-14",30,38,25,30.71,22,28,15,30.52,15,18,30.33,31,0,"Clear",20.5714285714286,31.5714285714286,9.57142857142857
2011,1,15,15,16.875,15,6.72640804719661,33,9,9.575,30.7,10,10.3,12,18.75,24,2011-01-15,45.1547619047619,"2011-1-15",26,34,29,30.77,19,25,17,30.7,12,19,30.63,34,0,"Clear",19.8571428571429,32.1428571428571,9.42857142857143
2011,1,16,16,39.3333333333333,30.5,26.4372376815711,107,11,12.15,89.75,13,13,16.75,60.25,24,2011-01-16,38.5297619047619,"2011-1-16",28,57,9,30.69,18,34,5,30.62,8,23,30.54,16,0,"Clear",19.7142857142857,31.4285714285714,10.1428571428571
2011,1,17,17,33.9166666666667,25,30.987959325977,130,10,11.15,128.85,12.3,14.6,17.75,36.25,24,2011-01-17,27.3452380952381,"2011-1-17",28,48,20,30.63,19,34,10,30.57,10,25,30.51,29,0,"Clear",19.1428571428571,31,10.2857142857143
2011,1,18,18,20.625,19,6.12771678877853,31,12,12,31,12.15,13,16.75,24.25,24,2011-01-18,35.5654761904762,"2011-1-18",28,48,18,30.6,17,32,10,30.53,6,21,30.45,25,0,"Clear",19.4285714285714,31.5714285714286,9.14285714285714
2011,1,19,19,20.5416666666667,21,5.20851448960314,34,12,12.575,29.4,13,13.3,16.75,24,24,2011-01-19,40.125,"2011-1-19",30,44,20,30.54,19,31,9,30.49,8,18,30.42,27,0,"Clear",19.5714285714286,33.4285714285714,7.85714285714286
2011,1,20,20,43.2083333333333,26.5,31.7558336532753,124,13,14.15,110.2,15,15.6,19.75,61.75,24,2011-01-20,36.5654761904762,"2011-1-20",32,52,11,30.54,20,33,6,30.45,8,15,30.36,NA,0,"Clear",20.1428571428571,32.7142857142857,9.42857142857143
2011,1,21,21,74.4583333333333,38,59.7625585613359,191,20,22.3,188.7,24.45,27.6,31.75,126,24,2011-01-21,38.6428571428571,"2011-1-21",35,49,11,30.42,24,32,7,30.36,12,17,30.3,20,0,"Clear",20,33,9
2011,1,22,22,48.7916666666667,47,27.7190550793629,130,11,11,107.575,11.15,13.2,34.25,55.75,24,2011-01-22,40.1488095238095,"2011-1-22",33,62,20,30.48,20,38,8,30.37,8,24,30.3,29,0,"Clear",20.7142857142857,33.1428571428571,8.71428571428571
2011,1,23,23,14.4166666666667,14,3.50051756007677,21,9,9.575,21,10,10.3,12,16,24,2011-01-23,47.422619047619,"2011-1-23",30,35,25,30.54,22,29,16,30.49,14,23,30.42,34,0,"Clear",20.8571428571429,34.2857142857143,8
2011,1,24,24,48.4583333333333,45,27.7832905157769,109,11,11,100.95,12.2,19.6,27,70.25,24,2011-01-24,45.2321428571429,"2011-1-24",32,56,13,30.57,18,36,7,30.5,5,23,30.42,NA,0,"Clear",21,34.2857142857143,8.28571428571429
2011,1,25,25,31.1666666666667,22,24.8152594475511,95,11,11,92.125,11.15,12,13,35.5,24,2011-01-25,37.0238095238095,"2011-1-25",32,49,20,30.66,22,33,8,30.55,12,19,30.45,31,0,"Clear",20.7142857142857,34,8.57142857142857
2011,1,26,26,71.4583333333333,59.5,38.7522556613235,144,21,21,139.975,21.75,26.9,40,95.5,24,2011-01-26,31.8630952380952,"2011-1-26",32,57,7,30.74,20,39,4,30.68,8,21,30.6,NA,0,"Clear",20.7142857142857,32.4285714285714,9.14285714285714
2011,1,27,27,27.875,19,32.6394166880956,161,8,9.725,119.6,11,11.3,13,24.5,24,2011-01-27,32.8333333333333,"2011-1-27",28,49,13,30.86,21,33,8,30.76,14,22,30.71,NA,0,"Clear",21.4285714285714,31.8571428571429,8.71428571428571
2011,1,28,28,17,16,6.02891583014364,31,3,7.025,28.7,10.3,12,13,21,24,2011-01-28,30.077380952381,"2011-1-28",30,45,18,30.74,22,30,9,30.65,14,19,30.54,31,0,"Clear",23.1428571428571,30.4285714285714,9
2011,1,29,29,12.6666666666667,10.5,8.33883876112603,42,2,3.15,33.375,4.3,6.3,8.75,15.25,24,2011-01-29,30.9404761904762,"2011-1-29",30,37,18,30.66,20,27,12,30.6,10,18,30.54,34,0,"Clear",24.8571428571429,29,9.14285714285714
2011,1,30,30,21.2083333333333,16.5,13.1247498250829,49,7,7.575,47.275,8,8.3,12.5,22.5,24,2011-01-30,28.2916666666667,"2011-1-30",37,39,20,30.63,27,25,13,30.53,17,15,30.42,31,0,"Clear",26.2857142857143,27.1428571428571,9.85714285714286
2011,1,31,31,29.1666666666667,23,18.0474415064168,69,10,11.15,68.425,12,12.3,16.5,35.5,24,2011-01-31,40.0535714285714,"2011-1-31",46,49,16,30.48,30,26,9,30.36,14,13,30.27,22,0,"Clear",27.5714285714286,26.8571428571429,9.71428571428571
2011,2,1,32,37.2083333333333,34,14.0464421200489,84,20,21.15,69.625,22.15,24.2,28,43.25,24,2011-02-01,54.8333333333333,"2011-2-1",48,42,16,30.27,34,23,9,30.19,21,10,30.12,25,0,"Clear",29,28,9.14285714285714
2011,2,2,33,52.9166666666667,51.5,20.0887523508677,95,18,18.575,91.55,20.5,30.2,41,66.25,24,2011-02-02,70.2559523809524,"2011-2-2",44,42,22,30.21,30,26,9,30.15,17,13,30.09,31,0,"Clear",29.8571428571429,33,7.85714285714286
2011,2,3,34,110.208333333333,47,105.725230079496,348,23,23.575,319.825,24.15,25.9,34.5,151.25,24,2011-02-03,74.1904761904762,"2011-2-3",44,53,11,30.24,30,31,7,30.16,15,14,30.06,NA,0,"Clear",31.1428571428571,35.2857142857143,7
2011,2,4,35,120.458333333333,92.5,92.4384538686319,378,21,27.325,315.9,32,32.3,42.25,163.5,24,2011-02-04,90.9404761904762,"2011-2-4",46,63,16,30.27,32,38,5,30.17,19,23,30.09,NA,0,"Clear",31.4285714285714,39,6.28571428571429
2011,2,5,36,120.625,107,49.5315555984263,220,46,50.025,209.075,53.3,57.4,85.75,159.75,24,2011-02-05,98.9523809523809,"2011-2-5",35,79,9,30.27,26,62,3,30.08,17,44,29.95,NA,0,"Clear",31.1428571428571,42.5714285714286,5.85714285714286
2011,2,6,37,48.75,30,42.8193881320133,186,17,18.15,161.85,19.15,20.3,22,57.75,24,2011-02-06,109.202380952381,"2011-2-6",51,74,11,30.21,36,41,7,30.12,21,22,30.04,NA,0,"Clear",30.8571428571429,48.4285714285714,5.28571428571429
2011,2,7,38,146.416666666667,124,59.6795184928316,295,77,90.8,290.975,101.75,106.6,110,147.25,24,2011-02-07,103.196428571429,"2011-2-7",39,68,9,30.12,32,52,4,29.98,23,31,29.86,NA,0,"Clear",30.2857142857143,57.2857142857143,5
2011,2,8,39,93.2916666666667,104.5,51.858904871707,176,17,22.175,171.4,26.15,27,41.5,132.25,24,2011-02-08,94.2797619047619,"2011-2-8",46,80,13,30.21,32,48,6,30,17,20,29.89,22,0,"Clear",29.1428571428571,60.1428571428571,5.71428571428571
2011,2,9,40,124.666666666667,114,69.4954904177659,225,31,33.3,217.525,35.45,38,68,199,24,2011-02-09,81.2440476190476,"2011-2-9",37,93,13,30.39,28,67,5,30.31,19,44,30.21,NA,0,"Snow",28.1428571428571,57.4285714285714,6.28571428571429
2011,2,10,41,68.1666666666667,72,24.2337649224969,107,28,29.15,101.825,30,31.2,50,84.75,24,2011-02-10,84.5654761904762,"2011-2-10",28,100,7,30.39,26,93,5,30.35,23,80,30.3,NA,0,"Snow",26.4285714285714,63,5.85714285714286
2011,2,11,42,58.0416666666667,27,59.6872130845217,239,7,7,177.475,7,7.3,9,102.25,24,2011-02-11,68.9226190476191,"2011-2-11",30,100,36,30.6,24,58,10,30.43,14,29,30.33,47,0,"Clear",25,61.5714285714286,6.14285714285714
2011,2,12,43,29.375,25,15.5474379267761,58,10,10,53.4,10.15,11.3,15,41.5,24,2011-02-12,85.8690476190476,"2011-2-12",28,86,11,30.6,19,43,7,30.49,10,29,30.39,NA,0,"Snow",23.5714285714286,64.7142857142857,5.71428571428571
2011,2,13,44,72,75.5,28.7840535562737,115,11,11.575,113.85,12.15,24.7,60.5,86.25,24,2011-02-13,106.22619047619,"2011-2-13",28,100,11,30.51,24,80,4,30.43,19,46,30.39,13,0,"Snow",23.2857142857143,65.4285714285714,5.42857142857143
2011,2,14,45,36.9166666666667,31.5,26.0649967959141,102,6,6.575,94.525,7.15,8,19.25,47.75,24,2011-02-14,127.130952380952,"2011-2-14",33,73,13,30.54,22,42,6,30.48,12,21,30.42,16,0,"Clear",24.1428571428571,60.8571428571429,5.42857142857143
2011,2,15,46,211.916666666667,213.5,74.0105260825411,335,113,115.3,332.7,117.75,122.9,148.5,259,24,2011-02-15,145.47619047619,"2011-2-15",33,86,4,30.42,22,70,3,30.33,10,44,30.24,NA,0,"Clear",25.2857142857143,60.1428571428571,4.71428571428571
2011,2,16,47,267.166666666667,277.5,30.0429644034161,312,192,202.925,304.525,211.45,220,255.75,286,24,2011-02-16,168.458333333333,"2011-2-16",37,93,7,30.27,26,72,3,30.19,14,45,30.12,NA,0,"Clear",27.7142857142857,61.1428571428571,4.42857142857143
2011,2,17,48,214.5,230,125.495193048423,422,42,46.025,415.675,49.15,50.9,78.75,315.25,24,2011-02-17,209.517857142857,"2011-2-17",46,93,9,30.33,32,61,5,30.26,19,29,30.18,18,0,"Clear",29.1428571428571,58.7142857142857,4.28571428571429
